,price,accommodates,bedrooms,beds,availability_365,review_scores_rating,number_of_reviews,price_per_person,host_experience
price,1.0,0.33816149582227617,0.2717797465305092,0.23785625013005812,0.05616786195835785,0.02581263549266878,-0.02505081954238751,0.732143213118598,
accommodates,0.33816149582227617,1.0,0.6706878698509114,0.6641782450331419,0.09860151978649109,-0.010005120602441195,-0.002762273515954013,-0.04420168292067344,
bedrooms,0.2717797465305092,0.6706878698509114,1.0,0.6363257338803742,0.07057058443067293,0.01999250535472677,-0.02663561749784739,-0.01153125515917156,
beds,0.23785625013005812,0.6641782450331419,0.6363257338803742,1.0,0.22031360048463278,0.0038280646751370625,0.05566170272658642,-0.03175590496690043,
availability_365,0.05616786195835785,0.09860151978649109,0.07057058443067293,0.22031360048463278,1.0,-0.07185945711261851,0.02072354055333133,0.03178788085406632,
review_scores_rating,0.02581263549266878,-0.010005120602441195,0.01999250535472677,0.0038280646751370625,-0.07185945711261851,1.0,0.05341914278441971,0.025888087902114554,
number_of_reviews,-0.02505081954238751,-0.002762273515954013,-0.02663561749784739,0.05566170272658642,0.02072354055333133,0.05341914278441971,1.0,-0.009409117535238055,
price_per_person,0.732143213118598,-0.04420168292067344,-0.01153125515917156,-0.03175590496690043,0.03178788085406632,0.025888087902114554,-0.009409117535238055,1.0,
host_experience,,,,,,,,,
