neighbourhood_cleansed,price
Country Club,1384.2333333333333
Tribeca,1255.0729166666667
Fort Wadsworth,1010.33
Civic Center,978.8349999999999
Riverdale,734.86
Navy Yard,667.9
Brooklyn Heights,605.5467857142858
Financial District,573.1865137614678
West Village,550.6195628415301
Midtown,545.0885745775165
