Metric,Value
Average Price,278.2295175458982
Median Price,174.69
Standard Deviation,531.7304770067869
Minimum Price,4.58
Maximum Price,30972.96
Average Rating,4.732956221198157
Average Reviews,32.40530090221091
Average Bedrooms,1.3655110876102978
Average Availability,185.8381308040583
